latitude,longitude,weight
60.0,-8.0,0.0
60.0,-7.0,0.0
60.0,-6.0,0.0
60.0,-5.0,0.0
60.0,-4.0,0.0
60.0,-3.0,0.0
60.0,-2.0,1.2010820358720688e-05
60.0,-1.0,0.00027561426355610054
60.0,0.0,0.0
60.0,1.0,0.0
60.0,2.0,0.0
59.0,-8.0,0.0
59.0,-7.0,0.0
59.0,-6.0,2.351111986707929e-06
59.0,-5.0,3.855548371168874e-06
59.0,-4.0,0.00017640335049850034
59.0,-3.0,0.0003848735438246007
59.0,-2.0,5.344113144984259e-07
59.0,-1.0,0.0
59.0,0.0,0.0
59.0,1.0,0.0
59.0,2.0,0.0
58.0,-8.0,1.3648206508538954e-06
58.0,-7.0,5.1033158523405846e-05
58.0,-6.0,0.0002493737602366005
58.0,-5.0,9.123756619866674e-05
58.0,-4.0,0.0013351484259604026
58.0,-3.0,0.0014890757520188028
58.0,-2.0,0.0010328475986696019
58.0,-1.0,0.0
58.0,0.0,0.0
58.0,1.0,0.0
58.0,2.0,0.0
57.0,-8.0,4.124954981318074e-06
57.0,-7.0,5.2891800049671646e-05
57.0,-6.0,0.00017588135817880033
57.0,-5.0,0.0003207222114924006
57.0,-4.0,0.001638209806962103
57.0,-3.0,0.0023785451238296043
57.0,-2.0,0.006088463971110811
57.0,-1.0,0.0
57.0,0.0,0.0
57.0,1.0,0.0
57.0,2.0,0.0
56.0,-8.0,0.0
56.0,-7.0,4.115211290309722e-06
56.0,-6.0,7.387072904579362e-05
56.0,-5.0,0.006166182586687312
56.0,-4.0,0.03431702373414456
56.0,-3.0,0.02084396290405844
56.0,-2.0,0.0009254200494978017
56.0,-1.0,0.0
56.0,0.0,0.0
56.0,1.0,0.0
56.0,2.0,0.0
55.0,-8.0,0.0
55.0,-7.0,0.0
55.0,-6.0,8.934010424150694e-05
55.0,-5.0,0.0013865720473265025
55.0,-4.0,0.003051676835517406
55.0,-3.0,0.004471093624921609
55.0,-2.0,0.023144235800519445
55.0,-1.0,0.017632573161980233
55.0,0.0,0.0
55.0,1.0,0.0
55.0,2.0,0.0
54.0,-8.0,0.0
54.0,-7.0,0.0
54.0,-6.0,0.0
54.0,-5.0,0.0
54.0,-4.0,0.00016524497417840032
54.0,-3.0,0.024281681095916847
54.0,-2.0,0.060409687048214714
54.0,-1.0,0.024875399629214447
54.0,0.0,0.012066356875438923
54.0,1.0,0.0
54.0,2.0,0.0
53.0,-8.0,0.0
53.0,-7.0,0.0
53.0,-6.0,0.0
53.0,-5.0,0.0004429677596703008
53.0,-4.0,0.003978411411883808
53.0,-3.0,0.04097607644387748
53.0,-2.0,0.07575559392557935
53.0,-1.0,0.06363769959867342
53.0,0.0,0.014401764125149328
53.0,1.0,0.008600072507833815
53.0,2.0,0.0020295870847931038
52.0,-8.0,0.0
52.0,-7.0,0.0
52.0,-6.0,0.0
52.0,-5.0,0.0021989407383940043
52.0,-4.0,0.012167232749461222
52.0,-3.0,0.023329409067672644
52.0,-2.0,0.0528446729725651
52.0,-1.0,0.04625465936333139
52.0,0.0,0.12654377206387835
52.0,1.0,0.02577090356228785
52.0,2.0,0.0018902233866133036
51.0,-8.0,0.0
51.0,-7.0,0.0
51.0,-6.0,0.0
51.0,-5.0,0.0007244957077630014
51.0,-4.0,0.0076975527859827145
51.0,-3.0,0.02818144012403165
51.0,-2.0,0.024381666565594644
51.0,-1.0,0.049734586961142295
51.0,0.0,0.1043529530971889
51.0,1.0,0.020243708957054338
51.0,2.0,0.0
50.0,-8.0,0.0
50.0,-7.0,0.0
50.0,-6.0,0.000522447760545701
50.0,-5.0,0.00569870151479531
50.0,-4.0,0.007956270175616616
50.0,-3.0,1.5189817652689458e-05
50.0,-2.0,0.0
50.0,-1.0,0.0
50.0,0.0,0.0
50.0,1.0,0.0
50.0,2.0,0.0
