date,HDD,daily_mean_wind10m,daily_mean_t2m,HDD_7day_avg,day_name,DOW_effect,winter_year,DSN,estimated_daily_mean_demand_MW
1950-01-07,6.6823535,5.522961,8.817647,8.261591428571428,Saturday,0.0,1950,67,33105.789659895
1950-01-08,7.9432387,4.3251185,7.5567613,7.653858242857143,Sunday,-852.39,1950,68,32267.062842836
1950-01-09,8.905273,2.7364514,6.594726,7.859327442857143,Monday,3876.48,1950,69,37096.670116246
1950-01-10,6.8084707,4.0083466,8.691529,7.901599457142857,Tuesday,4369.05,1950,70,37137.573781647
1950-01-11,5.172726,4.477369,10.327273,7.593553985714286,Wednesday,4389.15,1950,71,36615.797212608
1950-01-12,9.437209,3.2295105,6.0627904,7.7811198428571435,Thursday,4263.68,1950,72,37680.478089073
1950-01-13,8.19859,4.396589,7.30141,7.592551557142857,Friday,3629.33,1950,73,36777.121819308
1950-01-14,7.6777587,3.7260714,7.8222413,7.734752299999999,Saturday,0.0,1950,74,32907.612587993004
1950-01-15,7.1603904,6.472515,8.33961,7.622916828571428,Sunday,-852.39,1950,75,32290.666516929996
1950-01-16,10.624184,5.264104,4.875817,7.8684755428571425,Monday,3876.48,1950,76,37979.053208656
1950-01-17,11.141875,4.764957,4.3581247,8.487533299999999,Tuesday,4369.05,1950,77,38728.662093582
1950-01-18,13.063628,2.7357366,2.4363716,9.614805014285713,Wednesday,4389.15,1950,78,39354.090171288
1950-01-19,14.868519,2.9309657,0.6314807,10.390706442857143,Thursday,4263.68,1950,79,40049.83723772901
1950-01-20,15.423492,4.280301,0.07650758,11.422835300000001,Friday,3629.33,1950,80,40105.537269172004
1950-01-21,15.440191,3.5214999,0.059808616,12.531754199999998,Saturday,0.0,1950,81,36678.884382856995
1950-01-22,13.271046,2.48572,2.2289538,13.404704999999998,Sunday,-852.39,1950,82,35223.686443160004
1950-01-23,13.5078745,3.6084254,1.9921252,13.816660785714285,Monday,3876.48,1950,83,40317.453081419
1950-01-24,16.536386,3.3714552,-1.0363868,14.587305214285715,Tuesday,4369.05,1950,84,41943.21554572201
1950-01-25,16.816149,2.0198085,-1.3161484,15.123379642857143,Wednesday,4389.15,1950,85,41978.741776825
1950-01-26,17.152134,2.026534,-1.6521343,15.449610357142857,Thursday,4263.68,1950,86,42041.98788743
1950-01-27,15.83336,2.5405598,-0.33335996,15.508162928571428,Friday,3629.33,1950,87,41075.36668322801
1950-01-28,15.723045,5.0976233,-0.2230456,15.548570642857143,Saturday,0.0,1950,88,37818.607259193006
1950-01-29,16.84422,5.4183545,-1.3442189,16.059024071428574,Sunday,-852.39,1950,89,37507.172116915004
1950-01-30,15.208366,4.58503,0.2916337,16.30195142857143,Monday,3876.48,1950,90,41640.33922896
1950-01-31,12.721023,3.3805091,2.7789776,15.756899571428571,Tuesday,4369.05,1950,91,40971.016472901
1950-02-01,13.017721,6.2653756,2.4822786,15.214267000000001,Wednesday,4389.15,1950,92,41367.356248486
1950-02-02,10.200306,6.9737396,5.2996936,14.221148714285714,Thursday,4263.68,1950,93,40148.746517515996
1950-02-03,7.854178,7.3754296,7.645822,13.081265571428572,Friday,3629.33,1950,94,38475.661271096
1950-02-04,9.937181,4.63051,5.562818,12.25471357142857,Saturday,0.0,1950,95,34790.10760511001
1950-02-05,11.100012,5.8949013,4.3999877,11.434112428571426,Sunday,-852.39,1950,96,34239.789419293
1950-02-06,12.013068,5.6917624,3.486932,10.977641285714284,Monday,3876.48,1950,97,39064.25473684401
1950-02-07,11.300714,4.9346223,4.199287,10.77474,Tuesday,4369.05,1950,98,39126.350720383
1950-02-08,11.832529,5.772491,3.6674707,10.605426857142858,Wednesday,4389.15,1950,99,39375.34073506
1950-02-09,11.400237,4.787756,4.0997624,10.77684557142857,Thursday,4263.68,1950,100,38982.68969981
1950-02-10,7.163243,8.246195,8.336757,10.678140571428571,Friday,3629.33,1950,101,37516.825736959996
1950-02-11,10.458897,9.1908455,5.041104,10.752671428571428,Saturday,0.0,1950,102,35077.018659225
1950-02-12,10.714073,6.781853,4.7859263,10.697537285714287,Sunday,-852.39,1950,103,33874.59962858
1950-02-13,11.99619,5.6310673,3.5038106,10.695126142857143,Monday,3876.48,1950,104,38795.70952845301
1950-02-14,12.279449,4.942683,3.2205508,10.834945428571428,Tuesday,4369.05,1950,105,39282.53699358
1950-02-15,6.340975,8.072389,9.159025,10.050437714285712,Wednesday,4389.15,1950,106,37672.545949019994
1950-02-16,5.4081206,8.772144,10.09188,9.194421085714286,Thursday,4263.68,1950,107,37081.054235178
1950-02-17,5.7484565,7.2442203,9.751544,8.992308728571428,Friday,3629.33,1950,108,36218.97926816
1950-02-18,5.9253507,5.6484027,9.574649,8.344659257142858,Saturday,0.0,1950,109,32164.76169772
1950-02-19,9.137149,3.5766332,6.3628516,8.1193844,Sunday,-852.39,1950,110,31894.290234218002
1950-02-20,8.314607,5.498058,7.185394,7.593443971428571,Monday,3876.48,1950,111,36486.509992506
1950-02-21,10.944382,3.0527532,4.5556183,7.402720114285714,Tuesday,4369.05,1950,112,37326.59311764801
1950-02-22,11.99354,3.1764352,3.50646,8.2102294,Wednesday,4389.15,1950,113,37910.589984548
1950-02-23,10.408032,3.006543,5.091967,8.924502457142857,Thursday,4263.68,1950,114,37442.31734549401
1950-02-24,8.811776,3.5907176,6.6882243,9.362119528571428,Friday,3629.33,1950,115,36499.67749321
1950-02-25,12.396855,5.334589,3.1031444,10.286620142857142,Saturday,0.0,1950,116,34529.09115035999
1950-02-26,15.042483,4.529362,0.45751643,11.130239285714286,Sunday,-852.39,1950,117,34602.91989365
1950-02-27,15.497875,2.0855613,0.0021244735,12.156420428571428,Monday,3876.48,1950,118,39357.39986354301
1950-02-28,14.307194,3.3028657,1.1928058,12.636822142857143,Tuesday,4369.05,1950,119,39782.639512877
1950-03-01,13.9475155,2.6020405,1.5524846,12.915961499999998,Wednesday,4389.15,1950,120,39626.719115520005
1950-03-02,10.790655,5.564068,4.7093453,12.970621928571429,Thursday,4263.68,1950,121,38966.3707315
1950-03-03,7.5015497,5.739651,7.99845,12.78344674285714,Friday,3629.33,1950,122,37232.357855961
1950-03-04,8.302944,4.1437116,7.197056,12.198602314285717,Saturday,0.0,1950,123,33386.94486292
1950-03-05,8.488876,2.8443325,7.0111237,11.262372742857142,Sunday,-852.39,1950,124,32065.962128169005
1950-03-06,9.482199,2.3093827,6.0178013,10.402990457142858,Monday,3876.48,1950,125,36726.846174561
