date,HDD,daily_mean_wind10m,daily_mean_t2m
1950-01-01,12.197371,3.000725,3.3026292
1950-01-02,7.4669886,5.377929,8.033011
1950-01-03,6.5125666,4.964889,8.987433
1950-01-04,7.3290443,4.928288,8.170956
1950-01-05,8.124248,5.5995955,7.375752
1950-01-06,9.518568,7.220307,5.981432
1950-01-07,6.6823535,5.522961,8.817647
1950-01-08,7.9432387,4.3251185,7.5567613
1950-01-09,8.905273,2.7364514,6.594726
1950-01-10,6.8084707,4.0083466,8.691529
1950-01-11,5.172726,4.477369,10.327273
1950-01-12,9.437209,3.2295105,6.0627904
1950-01-13,8.19859,4.396589,7.30141
1950-01-14,7.6777587,3.7260714,7.8222413
1950-01-15,7.1603904,6.472515,8.33961
1950-01-16,10.624184,5.264104,4.875817
1950-01-17,11.141875,4.764957,4.3581247
1950-01-18,13.063628,2.7357366,2.4363716
1950-01-19,14.868519,2.9309657,0.6314807
1950-01-20,15.423492,4.280301,0.07650758
1950-01-21,15.440191,3.5214999,0.059808616
1950-01-22,13.271046,2.48572,2.2289538
1950-01-23,13.5078745,3.6084254,1.9921252
1950-01-24,16.536386,3.3714552,-1.0363868
1950-01-25,16.816149,2.0198085,-1.3161484
1950-01-26,17.152134,2.026534,-1.6521343
1950-01-27,15.83336,2.5405598,-0.33335996
1950-01-28,15.723045,5.0976233,-0.2230456
1950-01-29,16.84422,5.4183545,-1.3442189
1950-01-30,15.208366,4.58503,0.2916337
1950-01-31,12.721023,3.3805091,2.7789776
1950-02-01,13.017721,6.2653756,2.4822786
1950-02-02,10.200306,6.9737396,5.2996936
1950-02-03,7.854178,7.3754296,7.645822
1950-02-04,9.937181,4.63051,5.562818
1950-02-05,11.100012,5.8949013,4.3999877
1950-02-06,12.013068,5.6917624,3.486932
1950-02-07,11.300714,4.9346223,4.199287
1950-02-08,11.832529,5.772491,3.6674707
1950-02-09,11.400237,4.787756,4.0997624
1950-02-10,7.163243,8.246195,8.336757
1950-02-11,10.458897,9.1908455,5.041104
1950-02-12,10.714073,6.781853,4.7859263
1950-02-13,11.99619,5.6310673,3.5038106
1950-02-14,12.279449,4.942683,3.2205508
1950-02-15,6.340975,8.072389,9.159025
1950-02-16,5.4081206,8.772144,10.09188
1950-02-17,5.7484565,7.2442203,9.751544
1950-02-18,5.9253507,5.6484027,9.574649
1950-02-19,9.137149,3.5766332,6.3628516
1950-02-20,8.314607,5.498058,7.185394
1950-02-21,10.944382,3.0527532,4.5556183
1950-02-22,11.99354,3.1764352,3.50646
1950-02-23,10.408032,3.006543,5.091967
1950-02-24,8.811776,3.5907176,6.6882243
1950-02-25,12.396855,5.334589,3.1031444
1950-02-26,15.042483,4.529362,0.45751643
