dataset,winter_year,member,n_days_analysis_window,first_analysis_date,last_analysis_date,max_1d_mean_demand_MW,max_1d_window_start,max_1d_window_end,max_7d_mean_demand_MW,max_7d_window_start,max_7d_window_end,max_14d_mean_demand_MW,max_14d_window_start,max_14d_window_end,max_21d_mean_demand_MW,max_21d_window_start,max_21d_window_end,max_28d_mean_demand_MW,max_28d_window_start,max_28d_window_end,max_35d_mean_demand_MW,max_35d_window_start,max_35d_window_end,max_42d_mean_demand_MW,max_42d_window_start,max_42d_window_end,max_49d_mean_demand_MW,max_49d_window_start,max_49d_window_end,max_56d_mean_demand_MW,max_56d_window_start,max_56d_window_end,max_63d_mean_demand_MW,max_63d_window_start,max_63d_window_end,max_70d_mean_demand_MW,max_70d_window_start,max_70d_window_end,max_77d_mean_demand_MW,max_77d_window_start,max_77d_window_end,max_84d_mean_demand_MW,max_84d_window_start,max_84d_window_end
ECMWF,1982,0,144,1981-11-08,1982-03-31,43121.13916650679,1981-12-23,1981-12-23,40782.71991465734,1981-12-19,1981-12-25,40109.16516549316,1981-12-14,1981-12-27,39969.36371862006,1981-12-04,1981-12-24,39842.688353941274,1981-11-30,1981-12-27,39603.16169637791,1981-11-27,1981-12-31,39370.41301726666,1981-12-07,1982-01-17,39431.94440405424,1981-11-30,1982-01-17,39292.929302243305,1981-11-27,1982-01-21,39061.051232880345,1981-11-26,1982-01-27,38894.346906023115,1981-11-26,1982-02-03,38716.27081696929,1981-11-26,1982-02-10,38542.55712324678,1981-11-26,1982-02-17
ECMWF,1982,1,144,1981-11-08,1982-03-31,43260.644348354144,1981-12-16,1981-12-16,40469.32870317173,1981-12-10,1981-12-16,39477.63482881743,1981-12-05,1981-12-18,38747.99683589272,1981-12-04,1981-12-24,38868.21708900791,1981-12-06,1982-01-02,38610.634945373,1981-12-05,1982-01-08,38572.40363857702,1981-12-07,1982-01-17,38536.79285401223,1981-12-07,1982-01-24,38501.45266479991,1981-12-07,1982-01-31,38448.353456058394,1981-12-07,1982-02-07,38378.31773637,1981-12-06,1982-02-13,38311.6740466822,1981-12-07,1982-02-21,38329.68497957447,1981-12-06,1982-02-27
ECMWF,1982,2,144,1981-11-08,1982-03-31,43988.17306158841,1982-01-13,1982-01-13,42042.546794802474,1982-01-08,1982-01-14,41640.15073222604,1982-01-01,1982-01-14,41475.83565984864,1981-12-25,1982-01-14,41120.28722020567,1981-12-20,1982-01-16,40612.13594888472,1981-12-17,1982-01-20,40209.27314341348,1981-12-17,1982-01-27,39806.56017557659,1981-12-11,1982-01-28,39507.84999664385,1981-12-19,1982-02-12,39412.399781573804,1981-12-17,1982-02-17,39323.24968279057,1981-12-17,1982-02-24,39171.15660073793,1981-12-16,1982-03-02,39054.70679857537,1981-12-16,1982-03-09
ECMWF,1982,3,144,1981-11-08,1982-03-31,44574.253823278385,1982-01-27,1982-01-27,42434.156646339165,1982-01-26,1982-02-01,41800.95928235863,1982-01-22,1982-02-04,41419.9326385184,1982-01-22,1982-02-11,41078.096886244464,1982-01-19,1982-02-15,40845.73925249147,1982-01-22,1982-02-25,40687.755726987685,1982-01-20,1982-03-02,40497.2097221543,1982-01-17,1982-03-06,40285.257081138916,1982-01-16,1982-03-12,40139.550567820945,1982-01-02,1982-03-05,40044.08754408433,1981-12-28,1982-03-07,39919.66941725916,1981-12-28,1982-03-14,39860.91190320822,1981-12-15,1982-03-08
ECMWF,1982,4,144,1981-11-08,1982-03-31,44192.15737842143,1982-01-12,1982-01-12,42781.20459491211,1982-01-07,1982-01-13,42163.055957649,1982-01-02,1982-01-15,41567.91657109909,1981-12-28,1982-01-17,40917.65203917011,1981-12-22,1982-01-18,40762.162135929415,1981-12-14,1982-01-17,40433.93506707821,1981-12-10,1982-01-20,40145.77947238855,1981-12-04,1982-01-21,39843.29972148475,1981-12-04,1982-01-28,39518.82807298231,1981-12-04,1982-02-04,39262.87985126811,1981-12-03,1982-02-10,39097.585425329016,1981-12-04,1982-02-18,38974.299373482994,1981-12-04,1982-02-25
ECMWF,1982,5,144,1981-11-08,1982-03-31,43392.06484640533,1982-01-28,1982-01-28,41006.17587987932,1982-01-25,1982-01-31,40441.24226764632,1982-01-24,1982-02-06,39903.23280151319,1981-11-30,1981-12-20,39981.50837559607,1982-01-08,1982-02-04,39801.27998627338,1982-01-07,1982-02-10,39635.9391216658,1982-01-07,1982-02-17,39423.98012245274,1981-12-15,1982-02-01,39460.41390961293,1981-12-12,1982-02-05,39508.72095823965,1981-12-02,1982-02-02,39540.01747203758,1981-11-29,1982-02-06,39452.379597800995,1981-11-29,1982-02-13,39386.223482601716,1981-11-26,1982-02-17
ECMWF,1982,6,144,1981-11-08,1982-03-31,42435.00989975787,1981-12-23,1981-12-23,39782.55214051877,1982-01-18,1982-01-24,39165.15577239852,1982-01-16,1982-01-29,38563.72870373717,1982-01-16,1982-02-05,38407.836234913135,1982-01-14,1982-02-10,38163.36910308867,1982-01-15,1982-02-18,38216.65008917672,1982-01-18,1982-02-28,38265.704336658266,1982-01-16,1982-03-05,38125.388651806345,1982-01-14,1982-03-10,38019.22979506385,1982-01-14,1982-03-17,37949.27640972442,1982-01-14,1982-03-24,37937.72092743209,1981-12-19,1982-03-05,37883.55151181602,1981-12-12,1982-03-05
ECMWF,1982,7,144,1981-11-08,1982-03-31,42114.817141291525,1982-02-03,1982-02-03,39849.17501154024,1982-01-29,1982-02-04,39407.80400756845,1982-01-31,1982-02-13,39250.034509112484,1982-01-27,1982-02-16,38831.13755792808,1982-01-25,1982-02-21,38785.83501918947,1982-01-13,1982-02-16,38561.18645141873,1982-01-13,1982-02-23,38443.78013782608,1982-01-13,1982-03-02,38295.865423314564,1982-01-12,1982-03-08,38173.09236392724,1981-12-30,1982-03-02,38195.388790050565,1981-12-07,1982-02-14,38289.581089453895,1981-12-02,1982-02-16,38238.42853516097,1981-11-28,1982-02-19
ECMWF,1982,8,144,1981-11-08,1982-03-31,44141.90808242177,1982-01-15,1982-01-15,42244.70401848239,1982-01-11,1982-01-17,41634.892806821816,1982-01-04,1982-01-17,40992.50065898854,1981-12-30,1982-01-19,41017.791891082474,1981-12-22,1982-01-18,40588.7269937436,1981-12-18,1982-01-21,40412.05092409701,1981-12-07,1982-01-17,40386.85538923518,1981-12-03,1982-01-20,40173.86659779878,1981-11-26,1982-01-20,39928.17770118698,1981-11-21,1982-01-22,39608.89709631464,1981-11-18,1982-01-26,39347.668454306964,1981-11-19,1982-02-03,39253.72249203678,1981-11-25,1982-02-16
ECMWF,1982,9,144,1981-11-08,1982-03-31,44398.077026474915,1982-02-03,1982-02-03,41716.336037492445,1982-01-29,1982-02-04,40636.58483098126,1982-01-23,1982-02-05,39869.97048860275,1982-01-19,1982-02-08,39672.648464783604,1982-01-08,1982-02-04,39819.38239478419,1982-01-02,1982-02-05,39644.19022616289,1981-12-29,1982-02-08,39332.598073012836,1981-12-27,1982-02-13,39245.693796203166,1981-12-29,1982-02-22,39056.77464218261,1981-12-27,1982-02-27,38748.02403573304,1981-12-25,1982-03-04,38515.798926149684,1981-12-09,1982-02-23,38497.019550909674,1981-12-29,1982-03-22
