dataset,winter_year,n_days_analysis_window,first_analysis_date,last_analysis_date,max_1d_mean_demand_MW,max_1d_window_start,max_1d_window_end,max_7d_mean_demand_MW,max_7d_window_start,max_7d_window_end,max_14d_mean_demand_MW,max_14d_window_start,max_14d_window_end,max_21d_mean_demand_MW,max_21d_window_start,max_21d_window_end,max_28d_mean_demand_MW,max_28d_window_start,max_28d_window_end,max_35d_mean_demand_MW,max_35d_window_start,max_35d_window_end,max_42d_mean_demand_MW,max_42d_window_start,max_42d_window_end,max_49d_mean_demand_MW,max_49d_window_start,max_49d_window_end,max_56d_mean_demand_MW,max_56d_window_start,max_56d_window_end,max_63d_mean_demand_MW,max_63d_window_start,max_63d_window_end,max_70d_mean_demand_MW,max_70d_window_start,max_70d_window_end,max_77d_mean_demand_MW,max_77d_window_start,max_77d_window_end,max_84d_mean_demand_MW,max_84d_window_start,max_84d_window_end
Hannah,1951,144,1950-11-08,1951-03-31,42718.6090399,1951-01-02,1951-01-02,41008.649912175,1950-12-28,1951-01-03,40758.31491820786,1950-12-21,1951-01-03,40710.54947580262,1950-12-14,1951-01-03,40337.03333370697,1950-12-11,1951-01-07,40120.41967209329,1950-12-03,1951-01-06,39846.77156573596,1950-12-03,1951-01-13,39610.00536359869,1950-11-29,1951-01-16,39406.94944753948,1950-11-24,1951-01-18,39291.3098003475,1950-12-04,1951-02-04,39204.534532047735,1950-12-02,1951-02-09,39124.603136048696,1950-12-02,1951-02-16,39039.12235904093,1950-11-25,1951-02-16
Hannah,1952,145,1951-11-08,1952-03-31,42162.675531704,1952-01-28,1952-01-28,40737.01248504586,1952-01-25,1952-01-31,40233.60079853435,1952-01-20,1952-02-02,39954.52466047114,1952-01-16,1952-02-05,39707.456399349474,1952-01-17,1952-02-13,39487.368109011804,1952-01-13,1952-02-16,39232.81055491972,1952-01-09,1952-02-19,39119.11221417008,1951-12-30,1952-02-16,38982.39664940225,1951-12-26,1952-02-19,38758.887260531264,1951-12-25,1952-02-25,38636.955733789946,1951-12-10,1952-02-17,38536.64282805976,1951-12-06,1952-02-20,38414.96028756775,1951-12-07,1952-02-28
Hannah,1953,144,1952-11-08,1953-03-31,41991.54093115601,1952-11-25,1952-11-25,40259.14846067957,1952-11-29,1952-12-05,40184.01551543122,1952-11-24,1952-12-07,39846.58609267491,1952-11-18,1952-12-08,39667.508297081964,1952-11-21,1952-12-18,39484.775067882685,1952-11-16,1952-12-20,39336.42213667957,1952-11-28,1953-01-08,39391.20078270788,1952-11-22,1953-01-09,39319.153746696495,1952-11-16,1953-01-10,39203.96830479562,1952-11-14,1953-01-15,39146.780070331166,1952-11-17,1953-01-25,39034.70637345435,1952-11-12,1953-01-27,39060.817032507155,1952-11-24,1953-02-15
Hannah,1954,144,1953-11-08,1954-03-31,44116.249070486,1954-02-02,1954-02-02,42062.17786460986,1954-01-31,1954-02-06,41547.152551133644,1954-01-27,1954-02-09,40738.60021731238,1954-01-23,1954-02-12,39931.38819177454,1954-01-22,1954-02-18,39625.11491112711,1954-01-06,1954-02-09,39522.16387196434,1954-01-01,1954-02-11,39302.49631181143,1953-12-26,1954-02-12,39087.67170680854,1953-12-24,1954-02-17,38887.77653984661,1953-12-31,1954-03-03,38793.165624397014,1953-12-27,1954-03-06,38652.40169567167,1953-12-21,1954-03-07,38473.39624296582,1953-12-15,1954-03-08
Hannah,1955,144,1954-11-08,1955-03-31,43305.537901560005,1955-01-19,1955-01-19,41252.81904780729,1955-01-14,1955-01-20,40587.856939066005,1955-01-07,1955-01-20,40159.07513429219,1955-01-03,1955-01-23,39820.572572710436,1955-02-11,1955-03-10,39454.72075530854,1955-02-08,1955-03-14,39106.11104109546,1955-02-09,1955-03-22,39214.58904236027,1955-01-11,1955-02-28,39261.25471953293,1955-01-04,1955-02-28,39265.64383396126,1955-01-04,1955-03-07,39216.78061105147,1955-01-03,1955-03-13,39053.37618954404,1955-01-01,1955-03-18,38892.17722162062,1954-12-30,1955-03-23
Hannah,1956,145,1955-11-08,1956-03-31,43230.542378886,1956-02-02,1956-02-02,41524.260829091574,1956-02-19,1956-02-25,41083.00666853179,1956-02-14,1956-02-27,40589.478991924814,1956-02-07,1956-02-27,40528.790285685216,1956-01-31,1956-02-27,40021.6150739476,1956-01-24,1956-02-27,39759.33956240927,1956-01-17,1956-02-27,39696.02271382696,1956-01-09,1956-02-26,39617.56256134301,1956-01-04,1956-02-28,39380.154066491035,1955-12-30,1956-03-01,39233.9023147153,1955-12-20,1956-02-27,39125.09470633849,1955-12-16,1956-03-01,38979.27645808919,1955-12-09,1956-03-01
Hannah,1957,144,1956-11-08,1957-03-31,42241.07541808001,1956-12-25,1956-12-25,39845.58363210057,1956-12-22,1956-12-28,39141.395012876004,1956-12-20,1957-01-02,38371.35531060948,1956-12-13,1957-01-02,38286.42080208168,1956-12-24,1957-01-20,38303.108311171854,1956-12-21,1957-01-24,38156.18825159041,1956-12-19,1957-01-29,37953.37702685457,1956-12-13,1957-01-30,37716.633824632336,1956-12-10,1957-02-03,37723.442523918966,1956-12-21,1957-02-21,37715.46640166629,1956-12-19,1957-02-26,37631.147872550864,1956-12-13,1957-02-27,37510.85379174717,1956-12-12,1957-03-05
Hannah,1958,144,1957-11-08,1958-03-31,42480.162863995,1958-01-22,1958-01-22,40434.47075670343,1958-01-19,1958-01-25,39361.20118346357,1958-01-12,1958-01-25,39041.60670556576,1958-01-06,1958-01-26,38827.91349807269,1957-12-30,1958-01-26,38560.20254967157,1957-12-29,1958-02-01,38563.83756621488,1957-12-15,1958-01-25,38572.6333251638,1957-12-09,1958-01-26,38543.07751335321,1957-12-02,1958-01-26,38432.59454459573,1957-12-01,1958-02-01,38400.35954968111,1957-12-02,1958-02-09,38271.996938866534,1957-11-29,1958-02-13,38175.258025254334,1957-11-22,1958-02-13
Hannah,1959,144,1958-11-08,1959-03-31,43661.43428312701,1959-01-14,1959-01-14,41740.60866290201,1959-01-10,1959-01-16,40919.93277068243,1959-01-04,1959-01-17,40138.812691294144,1959-01-07,1959-01-27,39989.59426151596,1959-01-07,1959-02-03,39891.11807806283,1959-01-06,1959-02-09,39735.49130805955,1959-01-03,1959-02-13,39455.435348337516,1959-01-01,1959-02-18,39184.326320245615,1958-12-24,1959-02-17,39052.11659363632,1958-12-13,1959-02-13,39030.09167258686,1958-12-06,1959-02-13,38946.434679240534,1958-12-01,1959-02-15,38823.405699451025,1958-11-29,1959-02-20
Hannah,1960,145,1959-11-08,1960-03-31,42754.20812814,1960-01-14,1960-01-14,40318.71371940386,1960-01-12,1960-01-18,39808.27450161722,1960-01-08,1960-01-21,38954.781384129856,1960-01-07,1960-01-27,38583.49180417375,1960-01-06,1960-02-02,38465.98750308103,1960-01-13,1960-02-16,38688.353239483644,1960-01-09,1960-02-19,38682.69934763082,1960-01-07,1960-02-24,38434.14321108828,1960-01-02,1960-02-26,38293.862317698695,1959-12-24,1960-02-24,38219.011855608886,1959-12-17,1960-02-24,38171.805066691064,1959-12-10,1960-02-24,38142.806093790765,1959-12-03,1960-02-24
Hannah,1961,144,1960-11-08,1961-03-31,41495.71212745,1961-01-26,1961-01-26,39532.32431216129,1960-12-10,1960-12-16,39068.212478592,1960-12-09,1960-12-22,38900.74214260614,1960-12-09,1960-12-29,38876.20976880793,1960-12-11,1961-01-07,38868.35570846471,1960-12-09,1961-01-12,38856.65017771898,1960-12-10,1961-01-20,38876.64969885668,1960-12-10,1961-01-27,38783.998001869455,1960-12-08,1961-02-01,38647.751189051196,1960-12-07,1961-02-07,38438.40888520808,1960-12-01,1961-02-08,38222.03629872841,1960-11-27,1961-02-11,38058.36656850423,1960-11-16,1961-02-07
Hannah,1962,144,1961-11-08,1962-03-31,43731.023874107006,1962-01-02,1962-01-02,41688.283769053574,1961-12-28,1962-01-03,41376.43977613508,1961-12-23,1962-01-05,40701.128040085336,1961-12-18,1962-01-07,40189.5746322604,1961-12-18,1962-01-14,39752.706981070456,1961-12-17,1962-01-20,39283.479334368145,1961-12-14,1962-01-24,39116.02250316212,1961-12-17,1962-02-03,38904.01235951269,1961-11-25,1962-01-19,38752.10861684943,1961-12-17,1962-02-17,38677.59812234012,1961-12-20,1962-02-27,38786.48299295186,1961-12-21,1962-03-07,38777.210572477445,1961-12-17,1962-03-10
Hannah,1963,144,1962-11-08,1963-03-31,46147.455915087005,1963-01-23,1963-01-23,43827.162538873716,1963-01-19,1963-01-25,43673.267362967854,1963-01-12,1963-01-25,43069.93452399095,1963-01-07,1963-01-27,42786.55990324032,1963-01-10,1963-02-06,42484.344036907976,1963-01-03,1963-02-06,42387.80281575353,1962-12-27,1963-02-06,42170.705717262696,1962-12-24,1963-02-10,42011.842770415715,1962-12-27,1963-02-20,41944.68566180889,1962-12-27,1963-02-27,41818.046216222305,1962-12-23,1963-03-02,41535.38106587904,1962-12-18,1963-03-04,41261.74794180982,1962-12-11,1963-03-04
Hannah,1964,145,1963-11-08,1964-03-31,43900.278185353,1963-12-24,1963-12-24,41320.37821138414,1963-12-19,1963-12-25,40611.875431699285,1963-12-14,1963-12-27,40096.55474024948,1963-12-09,1963-12-29,39602.97121298129,1963-12-08,1964-01-04,39614.39575494997,1963-12-15,1964-01-18,39574.46384659548,1963-12-09,1964-01-19,39471.170443970186,1963-12-09,1964-01-26,39316.241484209124,1963-12-06,1964-01-30,39114.59481193925,1963-11-30,1964-01-31,39054.17827716101,1963-12-14,1964-02-21,39067.53184133007,1963-12-08,1964-02-22,38965.901505905305,1963-12-03,1964-02-24
Hannah,1965,144,1964-11-08,1965-03-31,43389.128846768006,1964-12-28,1964-12-28,40869.34242950357,1964-12-25,1964-12-31,40453.53911365914,1964-12-23,1965-01-05,40109.66619774962,1964-12-16,1965-01-05,39630.773426286316,1964-12-14,1965-01-10,39330.969118907546,1964-12-18,1965-01-21,39417.436465653765,1964-12-24,1965-02-03,39429.66822102884,1964-12-18,1965-02-04,39319.548428168644,1964-12-15,1965-02-08,39174.59084199428,1964-12-15,1965-02-15,39095.21177701077,1964-12-15,1965-02-22,39144.47216234078,1964-12-21,1965-03-07,39147.22295549396,1964-12-15,1965-03-08
Hannah,1966,144,1965-11-08,1966-03-31,44312.03198138701,1966-01-19,1966-01-19,41664.14585876286,1966-01-14,1966-01-20,41036.69533360943,1966-01-10,1966-01-23,40316.55310217219,1966-01-06,1966-01-26,40045.828431164075,1965-12-27,1966-01-23,39758.97339686278,1965-12-24,1966-01-27,39316.56108660138,1965-12-19,1966-01-29,39078.67670703449,1965-12-08,1966-01-25,39099.390177888716,1965-11-29,1966-01-23,39156.58315158435,1965-11-22,1966-01-23,39140.36598305767,1965-11-16,1966-01-24,39058.41301115655,1965-11-13,1966-01-28,38824.34628298449,1965-11-12,1966-02-03
Hannah,1967,144,1966-11-08,1967-03-31,42055.90785855,1967-01-09,1967-01-09,40187.00884071986,1967-01-04,1967-01-10,39379.702735719286,1967-01-01,1967-01-14,38947.51654584529,1966-12-25,1967-01-14,38604.51106084375,1966-12-24,1967-01-20,38423.27985465291,1966-12-13,1967-01-16,38450.440826823455,1966-12-02,1967-01-12,38445.17362553008,1966-11-28,1967-01-15,38405.53419031742,1966-11-22,1967-01-16,38311.37295115302,1966-11-16,1967-01-17,38191.805837069,1966-11-16,1967-01-24,38065.59296870526,1966-11-09,1967-01-24,37905.38423669054,1966-11-08,1967-01-30
Hannah,1968,145,1967-11-08,1968-03-31,43015.855924365,1968-01-10,1968-01-10,40806.46389440429,1968-01-07,1968-01-13,39901.03103810886,1967-12-31,1968-01-13,39237.803913686046,1967-12-28,1968-01-17,38934.79312846821,1967-12-17,1968-01-13,38874.23359215794,1967-12-10,1968-01-13,38844.03540766359,1967-12-07,1968-01-17,38498.142271047065,1967-12-07,1968-01-24,38363.5035305695,1967-11-23,1968-01-17,38402.568084706814,1967-12-31,1968-03-02,38325.36881567852,1967-12-29,1968-03-07,38323.656654546954,1967-12-17,1968-03-02,38388.057037881146,1967-12-07,1968-02-28
Hannah,1969,144,1968-11-08,1969-03-31,42694.31951912,1969-02-19,1969-02-19,40927.41647461442,1969-02-14,1969-02-20,40604.64686852764,1969-02-07,1969-02-20,40024.34346014438,1969-02-02,1969-02-22,39523.63935592507,1969-02-02,1969-03-01,39255.57020093906,1969-02-01,1969-03-07,38970.22356089036,1969-01-31,1969-03-13,38638.583950782384,1969-01-30,1969-03-19,38589.26704062688,1968-12-27,1969-02-20,38596.801669460685,1968-12-24,1969-02-24,38663.74069806824,1968-12-13,1969-02-20,38664.75261644865,1968-12-08,1969-02-22,38616.01675787618,1968-12-09,1969-03-02
Hannah,1970,144,1969-11-08,1970-03-31,43235.98703705401,1970-01-07,1970-01-07,40772.73757006686,1970-01-03,1970-01-09,40185.17855702407,1969-12-28,1970-01-10,39380.368626683914,1969-12-19,1970-01-08,39263.45032248868,1969-12-15,1970-01-11,39033.88971163951,1969-12-05,1970-01-08,39080.36428412116,1969-11-28,1970-01-08,38998.77474194504,1969-11-24,1970-01-11,38766.32057930131,1969-11-17,1970-01-11,38599.937535443,1969-11-13,1970-01-14,38521.634565565815,1969-12-13,1970-02-20,38529.8268632679,1969-12-04,1970-02-18,38570.886108387815,1969-11-28,1970-02-19
